time,temporada,rodada,data,horario,dia_semana,mes,adversario,resultado,gols_favor,gols_sofridos,condicao,arbitro,idade_media_titular_time,desvio_idade_media_time,altura_media_titular_time,desvio_altura_media_time,idade_media_titular_adv,desvio_idade_media_adv,altura_media_titular_adv,desvio_altura_media_adv,estadio,publico
Atlético Mineiro,2015,5,03/06/2015,22:00,Quarta,6,Avaí,Vitória,4,1,Visitante,Pablo Dos Santos Alves,26.5,4.5,180.9,7.6,26.8,5.2,180.8,7.4,Estádio da Ressacada,7101
Atlético Mineiro,2015,9,28/06/2015,11:00,Domingo,6,Joinville,Vitória,1,0,Mandante,Emerson Luiz Sobral,28.1,4.0,181.8,6.7,26.1,5.9,181.5,4.6,Arena Independência,55987
Atlético Mineiro,2015,17,09/08/2015,16:00,Domingo,8,Goiás,Empate,0,0,Visitante,Raphael Claus,27.9,4.3,179.6,7.6,25.1,4.3,180.2,4.9,Serra Dourada,7762
Atlético Mineiro,2015,24,09/09/2015,19:30,Quarta,9,Avaí,Vitória,2,0,Mandante,Luis Teixeira Rocha,28.6,3.9,180.3,7.7,26.8,3.7,179.9,8.6,Arena Independência,10388
Atlético Mineiro,2015,28,27/09/2015,16:00,Domingo,9,Joinville,Empate,2,2,Visitante,Raphael Claus,28.2,4.4,180.4,7.6,27.7,5.7,180.0,5.4,Arena Joinville,7486
Atlético Mineiro,2015,36,22/11/2015,16:00,Domingo,11,Goiás,Empate,2,2,Mandante,Nielson Nogueira Dias,28.3,4.4,180.4,7.6,26.5,4.2,180.5,4.8,Arena Independência,9373
Atlético Mineiro,2016,8,16/06/2016,19:30,Quinta,6,Internacional,Derrota,0,2,Visitante,Pericles Bassols Pegado Cortez,28.2,5.1,180.2,7.2,25.7,4.3,180.5,5.1,Estádio Beira-Rio,21881
Atlético Mineiro,2016,11,26/06/2016,11:00,Domingo,6,América Mineiro,Vitória,1,0,Visitante,Anderson Daronco,29.1,5.0,180.5,8.5,28.0,3.5,180.3,5.2,Arena Independência,9516
Atlético Mineiro,2016,13,03/07/2016,19:00,Domingo,7,Figueirense,Empate,1,1,Visitante,Rafael Traci,27.9,5.2,181.5,8.5,26.6,3.4,177.6,7.0,Orlando Scarpelli,5226
Atlético Mineiro,2016,17,30/07/2016,21:00,Sábado,7,Santa Cruz,Vitória,3,0,Mandante,Dewson Fernando Freitas da Silva,31.3,2.9,182.7,7.5,29.2,5.0,181.7,6.5,Arena Independência,16804
Atlético Mineiro,2016,27,25/09/2016,18:30,Domingo,9,Internacional,Vitória,3,1,Mandante,Pericles Bassols Pegado Cortez,29.0,5.0,180.1,7.5,27.3,4.9,180.2,5.3,Arena Independência,20311
Atlético Mineiro,2016,30,13/10/2016,19:30,Quinta,10,América Mineiro,Vitória,3,0,Mandante,Raphael Claus,29.6,4.4,180.7,8.8,28.7,4.1,180.2,5.9,Governador Magalhães Pinto,27737
Atlético Mineiro,2016,32,23/10/2016,18:30,Domingo,10,Figueirense,Vitória,3,0,Mandante,Grazianni Maciel Rocha,27.2,4.9,178.7,8.5,28.9,2.8,180.5,7.7,Arena Independência,14615
Atlético Mineiro,2016,36,20/11/2016,18:30,Domingo,11,Santa Cruz,Empate,3,3,Visitante,Wagner do Nascimento Magalhaes,26.5,4.1,179.4,6.7,29.5,5.2,178.8,7.4,Estádio do Arruda,3221
Atlético Mineiro,2017,3,28/05/2017,11:00,Domingo,5,Ponte Preta,Empate,2,2,Mandante,Wagner do Nascimento Magalhaes,30.0,3.6,180.4,7.7,28.7,4.5,181.1,6.7,Arena Independência,19553
Atlético Mineiro,2017,5,07/06/2017,19:30,Quarta,6,Avaí,Vitória,1,0,Mandante,Bruno Arleu de Araujo,28.4,4.8,180.9,6.9,28.3,5.0,178.4,7.1,Arena Independência,12648
Atlético Mineiro,2017,14,16/07/2017,16:00,Domingo,7,Atlético Goianiense,Vitória,2,1,Visitante,Pablo Dos Santos Alves,27.0,4.8,180.7,6.6,27.1,1.9,181.9,5.7,Estádio Olímpico Pedro Ludovico,5235
Atlético Mineiro,2017,17,30/07/2017,16:00,Domingo,7,Coritiba,Vitória,2,0,Visitante,Wagner do Nascimento Magalhaes,29.2,4.9,180.8,7.4,27.1,2.4,179.9,5.7,Estádio Major Antônio Couto Pereira,11564
Atlético Mineiro,2017,22,27/08/2017,16:00,Domingo,8,Ponte Preta,Vitória,2,1,Visitante,Rodolpho Toski Marques,29.7,5.1,180.5,8.4,28.1,6.0,178.8,8.5,Moisés Lucarelli,5779
Atlético Mineiro,2017,24,17/09/2017,11:00,Domingo,9,Avaí,Empate,1,1,Visitante,Andre Luiz de Freitas Castro,29.9,4.8,179.5,7.8,27.7,3.0,180.2,6.8,Estádio da Ressacada,9201
Atlético Mineiro,2017,33,09/11/2017,19:00,Quinta,11,Atlético Goianiense,Vitória,3,2,Mandante,Rodolpho Toski Marques,30.6,4.8,179.7,7.6,26.5,2.6,182.1,5.2,Arena Independência,8204
Atlético Mineiro,2017,36,19/11/2017,18:00,Domingo,11,Coritiba,Vitória,3,0,Mandante,Sandro Meira Ricci,29.8,5.4,179.1,8.1,27.5,4.0,178.9,7.0,Arena Independência,8184
Atlético Mineiro,2018,2,22/04/2018,16:00,Domingo,4,Vitória,Vitória,2,1,Mandante,Grazianni Maciel Rocha,28.1,5.4,179.1,7.8,25.9,3.7,181.4,8.8,Arena Independência,10423
Atlético Mineiro,2018,10,07/06/2018,21:00,Quinta,6,América Mineiro,Vitória,3,1,Visitante,Braulio Da Silva Machado,29.0,5.9,180.5,7.9,27.0,4.5,182.0,6.2,Arena Independência,7776
Atlético Mineiro,2018,21,26/08/2018,16:00,Domingo,8,Vitória,Derrota,0,1,Visitante,Leandro Bizzio Marinho,27.8,6.0,180.0,8.0,23.4,2.5,178.4,8.1,Estádio Manoel Barradas,5954
Atlético Mineiro,2018,29,14/10/2018,19:00,Domingo,10,América Mineiro,Empate,0,0,Mandante,Flavio Rodrigues De Souza,31.0,5.6,180.3,8.9,28.6,4.2,178.8,9.0,Arena Independência,20526
Atlético Mineiro,2019,1,27/04/2019,19:00,Sábado,4,Avaí,Vitória,2,1,Mandante,Rodolpho Toski Marques,31.1,5.9,180.3,9.0,28.6,4.2,180.3,8.5,Arena Independência,10531
Atlético Mineiro,2019,7,02/06/2019,19:00,Domingo,6,CSA,Vitória,4,0,Mandante,Diego Pombo Lopez,29.9,4.8,179.2,8.8,28.5,3.4,178.9,6.9,Arena Independência,14116
Atlético Mineiro,2019,10,14/07/2019,19:00,Domingo,7,Chapecoense,Vitória,2,1,Visitante,Marcelo Aparecido Ribeiro de Souza,27.5,6.1,181.1,8.3,29.0,4.4,178.5,6.1,Arena Condá,2600
Atlético Mineiro,2019,13,04/08/2019,19:00,Domingo,8,Cruzeiro,Vitória,2,0,Mandante,Leandro Pedro Vuaden,29.8,5.0,179.5,7.9,31.7,4.2,182.5,5.1,Arena Independência,13181
Atlético Mineiro,2019,20,23/09/2019,20:00,Segunda,9,Avaí,Derrota,0,1,Visitante,Caio Max Augusto Vieira,25.1,5.5,180.5,7.3,26.4,4.2,180.4,6.4,Estádio da Ressacada,7463
Atlético Mineiro,2019,26,16/10/2019,19:15,Quarta,10,CSA,Empate,2,2,Visitante,Savio Pereira Sampaio,29.0,6.3,181.7,9.2,30.3,3.9,179.4,8.3,Estádio Rei Pelé,13075
Atlético Mineiro,2019,29,30/10/2019,19:30,Quarta,10,Chapecoense,Derrota,0,2,Mandante,Diego Pombo Lopez,30.1,6.6,180.5,9.0,29.4,3.8,178.7,5.3,Arena Independência,19058
Atlético Mineiro,2019,32,10/11/2019,16:00,Domingo,11,Cruzeiro,Empate,0,0,Visitante,Jean Pierre Goncalves Lima,28.1,4.0,180.5,9.5,29.3,6.2,181.5,6.0,Governador Magalhães Pinto,43205
